Metric,Date,Value,Stock
Net Income From Continuing And Discontinued Operation,2023-12-31 00:00:00,,BAJFINANCE.NS
Diluted Average Shares,2023-12-31 00:00:00,6146875000.0,BAJFINANCE.NS
Basic Average Shares,2023-12-31 00:00:00,6124116459.0,BAJFINANCE.NS
Diluted EPS,2023-12-31 00:00:00,5.92,BAJFINANCE.NS
Basic EPS,2023-12-31 00:00:00,5.942,BAJFINANCE.NS
Diluted NI Availto Com Stockholders,2023-12-31 00:00:00,,BAJFINANCE.NS
Net Income Common Stockholders,2023-12-31 00:00:00,,BAJFINANCE.NS
Net Income,2023-12-31 00:00:00,,BAJFINANCE.NS
Minority Interests,2023-12-31 00:00:00,,BAJFINANCE.NS
Net Income Including Noncontrolling Interests,2023-12-31 00:00:00,,BAJFINANCE.NS
Net Income Continuous Operations,2023-12-31 00:00:00,,BAJFINANCE.NS
Tax Provision,2023-12-31 00:00:00,,BAJFINANCE.NS
Pretax Income,2023-12-31 00:00:00,,BAJFINANCE.NS
Gain On Sale Of Security,2023-12-31 00:00:00,,BAJFINANCE.NS
Operating Expense,2023-12-31 00:00:00,,BAJFINANCE.NS
Other Operating Expenses,2023-12-31 00:00:00,,BAJFINANCE.NS
Depreciation And Amortization In Income Statement,2023-12-31 00:00:00,,BAJFINANCE.NS
Depreciation Income Statement,2023-12-31 00:00:00,,BAJFINANCE.NS
Total Revenue,2023-12-31 00:00:00,,BAJFINANCE.NS
Operating Revenue,2023-12-31 00:00:00,,BAJFINANCE.NS
Tax Effect Of Unusual Items,2025-06-30 00:00:00,0.0,PNB.NS
Tax Rate For Calcs,2025-06-30 00:00:00,0.3,PNB.NS
Total Unusual Items,2025-06-30 00:00:00,0.0,PNB.NS
Total Unusual Items Excluding Goodwill,2025-06-30 00:00:00,0.0,PNB.NS
Net Income From Continuing Operation Net Minority Interest,2025-06-30 00:00:00,21198800000.0,PNB.NS
Net Interest Income,2025-06-30 00:00:00,107440000000.0,PNB.NS
Interest Expense,2025-06-30 00:00:00,218283300000.0,PNB.NS
Interest Income,2025-06-30 00:00:00,325723300000.0,PNB.NS
Normalized Income,2025-06-30 00:00:00,21198800000.0,PNB.NS
Net Income From Continuing And Discontinued Operation,2025-06-30 00:00:00,21198800000.0,PNB.NS
Diluted Average Shares,2025-06-30 00:00:00,11521086957.0,PNB.NS
Basic Average Shares,2025-06-30 00:00:00,11521086957.0,PNB.NS
Diluted EPS,2025-06-30 00:00:00,1.84,PNB.NS
Basic EPS,2025-06-30 00:00:00,1.84,PNB.NS
Diluted NI Availto Com Stockholders,2025-06-30 00:00:00,21198800000.0,PNB.NS
Net Income Common Stockholders,2025-06-30 00:00:00,21198800000.0,PNB.NS
Net Income,2025-06-30 00:00:00,21198800000.0,PNB.NS
Minority Interests,2025-06-30 00:00:00,-472200000.0,PNB.NS
Net Income Including Noncontrolling Interests,2025-06-30 00:00:00,21671000000.0,PNB.NS
Net Income Extraordinary,2025-06-30 00:00:00,0.0,PNB.NS
Net Income Continuous Operations,2025-06-30 00:00:00,21671000000.0,PNB.NS
Tax Provision,2025-06-30 00:00:00,51412000000.0,PNB.NS
Pretax Income,2025-06-30 00:00:00,69734200000.0,PNB.NS
Special Income Charges,2025-06-30 00:00:00,0.0,PNB.NS
Operating Expense,2025-06-30 00:00:00,88527200000.0,PNB.NS
Other Operating Expenses,2025-06-30 00:00:00,36260300000.0,PNB.NS
Total Revenue,2025-06-30 00:00:00,161705100000.0,PNB.NS
Operating Revenue,2025-06-30 00:00:00,161705100000.0,PNB.NS
Tax Effect Of Unusual Items,2025-03-31 00:00:00,11774791.420102,PNB.NS
Tax Rate For Calcs,2025-03-31 00:00:00,0.289307,PNB.NS
Total Unusual Items,2025-03-31 00:00:00,40700000.0,PNB.NS
Total Unusual Items Excluding Goodwill,2025-03-31 00:00:00,40700000.0,PNB.NS
Net Income From Continuing Operation Net Minority Interest,2025-03-31 00:00:00,49892900000.0,PNB.NS
Net Interest Income,2025-03-31 00:00:00,108835900000.0,PNB.NS
Interest Expense,2025-03-31 00:00:00,216395000000.0,PNB.NS
Interest Income,2025-03-31 00:00:00,325230900000.0,PNB.NS
Normalized Income,2025-03-31 00:00:00,49863974791.420105,PNB.NS
Net Income From Continuing And Discontinued Operation,2025-03-31 00:00:00,49892900000.0,PNB.NS
Diluted Average Shares,2025-03-31 00:00:00,,PNB.NS
Basic Average Shares,2025-03-31 00:00:00,,PNB.NS
Diluted EPS,2025-03-31 00:00:00,,PNB.NS
Basic EPS,2025-03-31 00:00:00,,PNB.NS
Diluted NI Availto Com Stockholders,2025-03-31 00:00:00,49892900000.0,PNB.NS
Net Income Common Stockholders,2025-03-31 00:00:00,49892900000.0,PNB.NS
Net Income,2025-03-31 00:00:00,49892900000.0,PNB.NS
Minority Interests,2025-03-31 00:00:00,-218800000.0,PNB.NS
Net Income Including Noncontrolling Interests,2025-03-31 00:00:00,50111700000.0,PNB.NS
Net Income Extraordinary,2025-03-31 00:00:00,0.0,PNB.NS
Net Income Continuous Operations,2025-03-31 00:00:00,50111700000.0,PNB.NS
Tax Provision,2025-03-31 00:00:00,18749200000.0,PNB.NS
Pretax Income,2025-03-31 00:00:00,64807300000.0,PNB.NS
Special Income Charges,2025-03-31 00:00:00,40700000.0,PNB.NS
Operating Expense,2025-03-31 00:00:00,91727200000.0,PNB.NS
Other Operating Expenses,2025-03-31 00:00:00,-12625700000.0,PNB.NS
Total Revenue,2025-03-31 00:00:00,156671000000.0,PNB.NS
Operating Revenue,2025-03-31 00:00:00,156671000000.0,PNB.NS
Tax Effect Of Unusual Items,2024-12-31 00:00:00,0.0,PNB.NS
Tax Rate For Calcs,2024-12-31 00:00:00,0.341095,PNB.NS
Total Unusual Items,2024-12-31 00:00:00,0.0,PNB.NS
Total Unusual Items Excluding Goodwill,2024-12-31 00:00:00,0.0,PNB.NS
Net Income From Continuing Operation Net Minority Interest,2024-12-31 00:00:00,48010000000.0,PNB.NS
Net Interest Income,2024-12-31 00:00:00,111571200000.0,PNB.NS
Interest Expense,2024-12-31 00:00:00,207376800000.0,PNB.NS
Interest Income,2024-12-31 00:00:00,318948000000.0,PNB.NS
Normalized Income,2024-12-31 00:00:00,48010000000.0,PNB.NS
Net Income From Continuing And Discontinued Operation,2024-12-31 00:00:00,48010000000.0,PNB.NS
Diluted Average Shares,2024-12-31 00:00:00,11485645933.0,PNB.NS
Basic Average Shares,2024-12-31 00:00:00,11485645933.0,PNB.NS
Diluted EPS,2024-12-31 00:00:00,4.18,PNB.NS
Basic EPS,2024-12-31 00:00:00,4.18,PNB.NS
Diluted NI Availto Com Stockholders,2024-12-31 00:00:00,48010000000.0,PNB.NS
Net Income Common Stockholders,2024-12-31 00:00:00,48010000000.0,PNB.NS
Net Income,2024-12-31 00:00:00,48010000000.0,PNB.NS
Minority Interests,2024-12-31 00:00:00,-100200000.0,PNB.NS
Net Income Including Noncontrolling Interests,2024-12-31 00:00:00,48110200000.0,PNB.NS
Net Income Extraordinary,2024-12-31 00:00:00,0.0,PNB.NS
Net Income Continuous Operations,2024-12-31 00:00:00,48110200000.0,PNB.NS
Tax Provision,2024-12-31 00:00:00,24064400000.0,PNB.NS
Pretax Income,2024-12-31 00:00:00,70550400000.0,PNB.NS
Special Income Charges,2024-12-31 00:00:00,0.0,PNB.NS
Operating Expense,2024-12-31 00:00:00,72922800000.0,PNB.NS
Other Operating Expenses,2024-12-31 00:00:00,19799600000.0,PNB.NS
Total Revenue,2024-12-31 00:00:00,145487500000.0,PNB.NS
Operating Revenue,2024-12-31 00:00:00,145487500000.0,PNB.NS
Tax Effect Of Unusual Items,2024-09-30 00:00:00,0.0,PNB.NS
Tax Rate For Calcs,2024-09-30 00:00:00,0.341325,PNB.NS
Total Unusual Items,2024-09-30 00:00:00,0.0,PNB.NS
Total Unusual Items Excluding Goodwill,2024-09-30 00:00:00,0.0,PNB.NS
Net Income From Continuing Operation Net Minority Interest,2024-09-30 00:00:00,47141400000.0,PNB.NS
Net Interest Income,2024-09-30 00:00:00,106570700000.0,PNB.NS
Interest Expense,2024-09-30 00:00:00,197903500000.0,PNB.NS
Interest Income,2024-09-30 00:00:00,304474200000.0,PNB.NS
Normalized Income,2024-09-30 00:00:00,47141400000.0,PNB.NS
Net Income From Continuing And Discontinued Operation,2024-09-30 00:00:00,47141400000.0,PNB.NS
Diluted Average Shares,2024-09-30 00:00:00,11040140515.0,PNB.NS
Basic Average Shares,2024-09-30 00:00:00,11040140515.0,PNB.NS
Diluted EPS,2024-09-30 00:00:00,4.27,PNB.NS
Basic EPS,2024-09-30 00:00:00,4.27,PNB.NS
Diluted NI Availto Com Stockholders,2024-09-30 00:00:00,47141400000.0,PNB.NS
Net Income Common Stockholders,2024-09-30 00:00:00,47141400000.0,PNB.NS
Net Income,2024-09-30 00:00:00,47141400000.0,PNB.NS
Minority Interests,2024-09-30 00:00:00,-249000000.0,PNB.NS
Net Income Including Noncontrolling Interests,2024-09-30 00:00:00,47390400000.0,PNB.NS
Net Income Extraordinary,2024-09-30 00:00:00,0.0,PNB.NS
Net Income Continuous Operations,2024-09-30 00:00:00,47390400000.0,PNB.NS
Tax Provision,2024-09-30 00:00:00,22966500000.0,PNB.NS
Pretax Income,2024-09-30 00:00:00,67286400000.0,PNB.NS
Special Income Charges,2024-09-30 00:00:00,0.0,PNB.NS
Operating Expense,2024-09-30 00:00:00,84089500000.0,PNB.NS
Other Operating Expenses,2024-09-30 00:00:00,26106100000.0,PNB.NS
Total Revenue,2024-09-30 00:00:00,153211200000.0,PNB.NS
Operating Revenue,2024-09-30 00:00:00,153211200000.0,PNB.NS
Tax Effect Of Unusual Items,2024-06-30 00:00:00,0.0,PNB.NS
Tax Rate For Calcs,2024-06-30 00:00:00,0.35383,PNB.NS
Total Unusual Items,2024-06-30 00:00:00,0.0,PNB.NS
Total Unusual Items Excluding Goodwill,2024-06-30 00:00:00,0.0,PNB.NS
Net Income From Continuing Operation Net Minority Interest,2024-06-30 00:00:00,39758600000.0,PNB.NS
Net Interest Income,2024-06-30 00:00:00,106082300000.0,PNB.NS
Interest Expense,2024-06-30 00:00:00,185363100000.0,PNB.NS
Interest Income,2024-06-30 00:00:00,291445400000.0,PNB.NS
Normalized Income,2024-06-30 00:00:00,39758600000.0,PNB.NS
Net Income From Continuing And Discontinued Operation,2024-06-30 00:00:00,39758600000.0,PNB.NS
Diluted Average Shares,2024-06-30 00:00:00,11013462604.0,PNB.NS
Basic Average Shares,2024-06-30 00:00:00,11013462604.0,PNB.NS
Diluted EPS,2024-06-30 00:00:00,3.61,PNB.NS
Basic EPS,2024-06-30 00:00:00,3.61,PNB.NS
Diluted NI Availto Com Stockholders,2024-06-30 00:00:00,39758600000.0,PNB.NS
Net Income Common Stockholders,2024-06-30 00:00:00,39758600000.0,PNB.NS
Net Income,2024-06-30 00:00:00,39758600000.0,PNB.NS
Minority Interests,2024-06-30 00:00:00,-155200000.0,PNB.NS
Net Income Including Noncontrolling Interests,2024-06-30 00:00:00,39913800000.0,PNB.NS
Net Income Extraordinary,2024-06-30 00:00:00,0.0,PNB.NS
Net Income Continuous Operations,2024-06-30 00:00:00,39913800000.0,PNB.NS
Tax Provision,2024-06-30 00:00:00,20349000000.0,PNB.NS
Pretax Income,2024-06-30 00:00:00,57510700000.0,PNB.NS
Special Income Charges,2024-06-30 00:00:00,0.0,PNB.NS
Operating Expense,2024-06-30 00:00:00,76917200000.0,PNB.NS
Other Operating Expenses,2024-06-30 00:00:00,30987100000.0,PNB.NS
Total Revenue,2024-06-30 00:00:00,142235800000.0,PNB.NS
Operating Revenue,2024-06-30 00:00:00,142235800000.0,PNB.NS
Tax Effect Of Unusual Items,2023-12-31 00:00:00,,PNB.NS
Tax Rate For Calcs,2023-12-31 00:00:00,,PNB.NS
Total Unusual Items,2023-12-31 00:00:00,,PNB.NS
Total Unusual Items Excluding Goodwill,2023-12-31 00:00:00,,PNB.NS
Net Income From Continuing Operation Net Minority Interest,2023-12-31 00:00:00,,PNB.NS
Net Interest Income,2023-12-31 00:00:00,,PNB.NS
Interest Expense,2023-12-31 00:00:00,,PNB.NS
Interest Income,2023-12-31 00:00:00,,PNB.NS
Normalized Income,2023-12-31 00:00:00,,PNB.NS
Net Income From Continuing And Discontinued Operation,2023-12-31 00:00:00,,PNB.NS
Diluted Average Shares,2023-12-31 00:00:00,11008009050.0,PNB.NS
Basic Average Shares,2023-12-31 00:00:00,11008009050.0,PNB.NS
Diluted EPS,2023-12-31 00:00:00,2.21,PNB.NS
Basic EPS,2023-12-31 00:00:00,2.21,PNB.NS
Diluted NI Availto Com Stockholders,2023-12-31 00:00:00,,PNB.NS
Net Income Common Stockholders,2023-12-31 00:00:00,,PNB.NS
Net Income,2023-12-31 00:00:00,,PNB.NS
Minority Interests,2023-12-31 00:00:00,,PNB.NS
Net Income Including Noncontrolling Interests,2023-12-31 00:00:00,,PNB.NS
Net Income Extraordinary,2023-12-31 00:00:00,,PNB.NS
Net Income Continuous Operations,2023-12-31 00:00:00,,PNB.NS
Tax Provision,2023-12-31 00:00:00,,PNB.NS
Pretax Income,2023-12-31 00:00:00,,PNB.NS
Special Income Charges,2023-12-31 00:00:00,,PNB.NS
Operating Expense,2023-12-31 00:00:00,,PNB.NS
Other Operating Expenses,2023-12-31 00:00:00,,PNB.NS
Total Revenue,2023-12-31 00:00:00,,PNB.NS
Operating Revenue,2023-12-31 00:00:00,,PNB.NS
Tax Effect Of Unusual Items,2025-06-30 00:00:00,-540447317.808504,ADANIPORTS.NS
Tax Rate For Calcs,2025-06-30 00:00:00,0.139568,ADANIPORTS.NS
Normalized EBITDA,2025-06-30 00:00:00,50175100000.0,ADANIPORTS.NS
Total Unusual Items,2025-06-30 00:00:00,-3872300000.0,ADANIPORTS.NS
Total Unusual Items Excluding Goodwill,2025-06-30 00:00:00,-3872300000.0,ADANIPORTS.NS
Net Income From Continuing Operation Net Minority Interest,2025-06-30 00:00:00,33145900000.0,ADANIPORTS.NS
Reconciled Cost Of Revenue,2025-06-30 00:00:00,43504100000.0,ADANIPORTS.NS
EBITDA,2025-06-30 00:00:00,46302800000.0,ADANIPORTS.NS
EBIT,2025-06-30 00:00:00,46302800000.0,ADANIPORTS.NS
Net Interest Income,2025-06-30 00:00:00,-7826800000.0,ADANIPORTS.NS
Interest Expense,2025-06-30 00:00:00,7826800000.0,ADANIPORTS.NS
Normalized Income,2025-06-30 00:00:00,36477752682.1915,ADANIPORTS.NS
Net Income From Continuing And Discontinued Operation,2025-06-30 00:00:00,33145900000.0,ADANIPORTS.NS
Total Expenses,2025-06-30 00:00:00,48857200000.0,ADANIPORTS.NS
Diluted Average Shares,2025-06-30 00:00:00,2160749674.0,ADANIPORTS.NS
Basic Average Shares,2025-06-30 00:00:00,2160749674.0,ADANIPORTS.NS
Diluted EPS,2025-06-30 00:00:00,15.34,ADANIPORTS.NS
Basic EPS,2025-06-30 00:00:00,15.34,ADANIPORTS.NS
Diluted NI Availto Com Stockholders,2025-06-30 00:00:00,33145900000.0,ADANIPORTS.NS
Net Income Common Stockholders,2025-06-30 00:00:00,33145900000.0,ADANIPORTS.NS
Otherunder Preferred Stock Dividend,2025-06-30 00:00:00,0.0,ADANIPORTS.NS
Net Income,2025-06-30 00:00:00,33145900000.0,ADANIPORTS.NS
Minority Interests,2025-06-30 00:00:00,39900000.0,ADANIPORTS.NS
Net Income Including Noncontrolling Interests,2025-06-30 00:00:00,33106000000.0,ADANIPORTS.NS
